volkswagen,ford,mitsubishi
12.9,5.35,1.88
7.3,4.999,11.9
18.3,14.9,7.5
10.5,18.399,5.4
8.2,5.8,9.777
14.0,6.2,8.3
16.575,4.3,8.3
11.5,7.2,7.599
7.0,13.5,3.999
10.0,5.0,6.5
4.9,13.999,8.7
10.7,13.9,5.0
10.7,11.6,8.7
5.5,11.999,6.999
12.0,9.5,7.3
8.599,13.55,7.9
9.8,7.55,7.3
8.15,15.888,8.8
13.999,17.2,8.6
8.2,10.6,7.5
6.35,17.3,7.3
7.6,13.5,5.85
10.0,12.999,5.7
12.8,9.9,6.7
15.025,14.0,8.2
7.5,8.6,9.2
8.4,13.9,8.299
2.0,8.9,11.1
8.8,9.6,5.499
10.8,12.2,6.5
5.4,14.6,5.0
15.5,13.3,6.7
6.8,1.55,7.8
18.9,17.999,5.2
5.5,4.0,10.777
9.3,7.6,3.3
8.5,8.25,7.999
13.759,11.4,9.0
3.4,16.999,9.8
7.499,8.2,7.95
9.4,17.5,6.7
11.3,13.5,5.999
9.5,8.6,15.4
4.5,14.0,7.2
9.15,9.999,9.49
8.3,11.5,4.999
11.3,6.295,5.5
11.5,11.5,6.4
12.199,10.8,5.0
9.999,10.9,6.3
14.9,2.2,8.0
14.1,10.85,5.9
2.6,7.7,6.75
12.25,10.0,5.5
13.499,7.299,5.9
10.3,9.7,7.4
14.0,11.7,5.3
16.3,10.9,5.0
13.399,13.999,9.8
11.499,15.3,7.1
9.8,5.999,8.2
17.0,8.999,9.499
13.2,13.9,5.4
13.6,12.2,10.099
5.85,13.7,3.15
17.5,11.35,2.5
15.3,12.75,6.3
11.7,9.9,6.9
12.2,4.4,6.3
12.5,11.5,5.6
8.5,7.5,8.35
10.7,14.499,7.9
12.5,11.5,6.3
1.5,4.8,7.3
4.9,11.5,7.75
17.3,14.8,11.7
10.7,13.2,6.1
11.7,9.75,9.7
12.7,9.8,10.5
2.9,1.85,6.4
12.3,14.999,5.7
12.5,12.8,5.6
13.2,16.499,8.2
14.3,10.8,10.11
5.45,10.399,7.4
12.0,12.999,5.0
9.75,10.0,14.8
6.6,12.6,5.6
9.3,16.6,7.1
13.8,12.9,8.5
12.9,10.7,6.0
15.4,14.4,5.85
12.5,7.1,6.7
7.9,10.9,10.1
19.1,11.2,6.8
14.999,13.999,5.7
13.5,11.999,8.2
11.95,11.999,5.9
9.5,11.999,6.55
11.88,12.5,4.699
14.0,1.65,6.7
8.7,14.5,5.5
11.499,9.2,7.9
13.45,13.7,17.7
3.9,9.7,6.2
8.88,14.9,11.35
8.3,13.9,7.35
11.2,11.95,2.1
14.29,8.95,6.9
1.95,9.9,7.4
12.8,5.6,4.0
11.9,5.6,8.7
12.5,5.3,8.0
12.0,11.2,6.0
14.8,2.0,2.25
9.8,9.2,7.9
9.7,10.4,3.0
2.65,12.2,9.6
17.5,13.0,10.75
10.33,8.5,2.5
12.6,5.1,9.5
12.5,2.8,7.95
12.999,8.8,5.6
16.1,9.8,6.4
13.999,1.2,2.6
8.8,13.2,6.7
16.5,13.7,5.4
18.444,8.5,5.999
12.9,13.5,6.2
10.5,6.5,8.0
9.3,7.65,8.8
8.25,8.8,5.3
14.1,9.7,5.5
5.4,9.5,5.35
16.999,9.0,4.15
9.999,15.8,1.9
8.999,9.9,6.999
15.9,14.2,3.5
13.444,11.3,8.0
13.5,7.9,13.999
10.5,12.599,4.8
10.999,12.5,6.549
12.7,11.8,9.8
11.85,11.7,16.5
11.999,1.699,8.1
12.9,11.1,8.2
12.5,16.9,7.7
13.4,13.3,5.3
11.999,13.0,10.7
10.8,10.5,3.5
13.5,13.7,6.99
12.3,10.3,9.5
7.8,10.5,6.6
5.4,5.5,6.5
7.999,5.8,10.777
1.6,1.4,6.2
14.4,10.299,6.8
11.5,8.0,8.1
6.2,17.999,4.7
11.7,11.0,7.3
11.0,9.1,4.5
8.0,10.999,12.3
16.3,12.5,6.1
12.2,9.2,5.999
7.8,11.3,5.699
14.35,14.0,6.2
12.0,7.3,3.0
5.3,18.2,6.5
10.6,9.9,6.7
12.3,14.4,3.2
8.8,13.5,3.5
11.599,15.5,6.8
4.9,2.3,6.3
5.15,9.2,3.6
13.5,12.7,4.666
13.9,11.499,9.5
15.0,12.3,10.5
12.9,8.999,6.2
13.9,11.6,5.1
6.5,4.95,7.5
7.8,8.7,4.7
10.999,8.399,7.1
11.9,15.3,7.999
7.2,18.0,8.3
9.5,8.95,7.2
3.2,9.7,8.5
10.4,7.45,3.7
9.7,5.0,4.8
15.9,9.7,7.9
11.6,11.5,8.3
7.6,13.8,10.5
12.7,9.999,5.5
12.7,5.3,7.15
9.2,11.3,9.3
13.8,11.5,5.95
6.9,9.3,5.3
13.799,11.2,11.9
13.2,12.999,13.4
8.25,15.3,4.8
6.25,14.4,9.1
14.3,13.0,8.2
14.6,16.5,4.999
13.5,12.0,5.299
2.6,11.7,3.2
8.7,8.95,11.1
5.4,10.5,6.999
12.999,15.1,3.5
12.6,8.7,6.8
3.85,4.999,8.499
12.3,9.0,13.6
13.9,4.25,4.5
11.95,10.999,8.999
12.2,16.4,14.0
11.7,12.7,6.5
11.8,12.3,4.1
7.777,13.999,4.99
13.5,6.3,10.5
11.3,5.5,5.6
10.5,6.2,4.999
11.3,15.499,5.2
10.6,14.9,14.9
11.9,10.0,4.55
12.0,10.85,6.3
7.5,11.7,6.4
16.0,14.8,18.6
15.7,13.9,11.8
7.7,9.7,7.699
6.8,12.6,18.0
11.5,16.7,10.65
11.3,8.8,7.2
9.0,13.2,17.25
12.8,2.3,13.7
13.5,16.5,10.9
11.8,13.8,16.7
10.199,14.88,16.3
12.9,13.9,11.0
13.3,12.4,13.5
4.9,16.3,16.45
9.3,1.85,18.499
13.836,9.8,12.0
11.9,13.3,8.9
2.45,9.5,5.999
16.65,11.9,9.6
9.999,9.999,16.75
11.8,11.4,8.3
11.6,11.5,16.6
10.3,18.8,14.95
7.4,16.5,12.6
12.495,9.2,11.499
13.2,15.0,11.3
13.799,9.8,8.2
9.69,2.0,8.5
6.1,5.0,14.7
15.3,13.999,16.0
10.0,13.1,11.7
15.3,1.4,18.7
10.5,11.9,14.5
12.7,7.0,17.0
13.7,8.777,19.0
11.6,12.5,11.8
13.2,13.99,17.5
10.0,8.8,15.1
11.9,6.2,15.8
6.0,6.0,15.5
4.5,4.588,11.0
12.99,18.6,14.4
17.5,4.6,12.85
11.2,2.0,12.4
11.4,9.5,17.999
15.7,12.7,9.5
13.1,11.999,11.9
10.3,7.9,9.7
11.7,11.9,13.8
8.45,10.999,13.6
12.5,12.1,14.35
14.2,12.9,13.3
13.999,14.0,9.999
14.7,15.9,14.9
7.6,12.3,9.499
12.7,10.3,6.9
11.5,14.4,8.4
11.8,8.299,8.3
4.799,18.499,9.0
11.3,12.6,7.55
10.5,12.5,7.8
9.7,13.5,19.0
13.9,13.499,4.2
17.89,12.9,15.85
11.9,13.5,8.5
15.0,14.5,10.0
11.999,15.2,13.5
11.0,12.5,8.8
14.7,5.25,18.2
9.15,8.5,8.3
7.9,9.5,14.9
8.6,16.8,15.2
11.4,16.9,11.0
11.998,8.0,11.0
10.45,11.6,16.5
10.95,5.568,13.999
6.4,7.9,13.7
10.95,2.45,10.0
9.999,7.5,15.9
7.5,16.499,7.2
7.499,18.3,8.1
5.0,18.9,13.8
5.0,2.6,11.8
13.999,18.95,14.0
14.7,6.333,10.5
18.4,16.9,9.2
12.4,14.0,13.777
13.0,1.8,7.99
18.5,5.3,13.5
12.5,7.6,10.0
8.25,7.0,15.9
11.599,9.0,11.5
8.7,4.9,10.4
13.0,7.9,14.7
10.0,7.37,10.7
10.8,8.7,8.4
12.199,4.8,12.35
11.25,12.0,8.3
5.7,6.5,15.8
14.7,8.2,7.8
4.95,6.4,12.4
9.9,7.599,9.7
16.5,9.55,9.0
13.9,5.6,9.299
11.9,9.85,7.8
5.3,6.4,16.5
3.3,5.777,9.9
5.0,12.0,13.0
7.65,12.9,18.9
15.0,10.8,8.899
10.9,7.35,10.7
10.5,3.3,12.999
12.75,5.3,8.499
2.9,5.8,13.2
7.569,8.399,15.999
11.5,6.333,9.4
7.7,8.5,10.5
5.2,18.5,15.6
3.0,5.2,18.0
6.8,10.5,8.3
14.6,12.8,2.5
14.9,12.9,17.5
12.2,7.3,8.899
9.8,15.7,11.0
5.3,8.9,9.5
9.7,5.85,15.0
4.5,10.2,12.5
14.2,5.99,14.9
15.5,8.9,10.0
2.7,2.5,11.0
9.2,5.8,6.6
11.3,6.0,10.95
7.5,7.4,16.8
15.25,8.67,12.9
3.6,9.4,15.499
14.3,6.0,13.5
14.5,5.899,16.3
2.6,9.7,9.5
10.8,11.499,12.2
3.0,12.8,8.45
19.0,6.999,11.8
8.4,16.2,8.5
5.999,9.9,9.8
12.3,11.5,17.7
18.5,7.5,7.7
11.6,10.3,10.4
15.5,2.35,9.9
10.9,10.85,15.2
3.1,6.799,10.5
13.5,11.999,18.5
18.8,5.9,12.1
4.3,13.55,13.5
9.4,5.999,7.3
13.8,7.2,14.5
9.0,8.999,12.75
12.25,9.0,13.75
6.8,5.4,13.5
12.5,6.9,15.8
5.05,6.2,11.3
7.35,6.6,13.7
6.499,4.5,14.7
4.9,4.3,15.0
15.15,7.2,11.0
17.0,9.1,10.3
11.9,12.5,14.6
4.999,5.399,10.1
13.5,9.376,13.2
5.3,9.699,15.499
6.999,6.8,18.7
10.0,15.95,11.2
6.1,11.2,16.5
15.9,11.1,6.5
5.7,7.499,8.4
12.5,18.56,15.4
9.2,7.3,8.999
8.0,12.0,8.999
5.15,11.85,10.5
11.2,5.2,8.5
12.999,12.999,15.0
5.5,3.6,9.2
13.0,14.5,12.6
16.3,9.199,8.5
8.9,6.8,16.0
11.0,5.1,12.5
13.2,9.299,9.3
14.7,8.3,12.1
11.0,8.99,12.8
5.3,11.999,15.7
12.2,13.45,14.4
2.999,5.65,8.6
5.9,9.5,11.0
14.0,5.8,7.0
1.2,8.4,10.4
13.0,7.4,7.7
9.5,7.4,12.4
11.6,6.95,10.0
6.5,6.2,12.5
15.8,6.5,14.8
7.999,6.599,12.7
5.4,5.6,7.1
10.5,9.9,7.5
3.15,10.95,16.0
5.1,9.599,12.2
2.0,5.7,15.3
1.8,5.2,15.3
8.3,5.5,13.2
3.35,6.39,14.5
8.9,3.99,13.699
15.9,7.2,13.85
3.0,4.7,10.6
10.1,6.75,11.9
3.2,7.899,11.3
11.5,8.35,15.45
7.5,6.8,9.6
9.85,9.4,7.999
9.9,3.7,10.999
13.3,14.2,15.2
8.5,7.15,9.5
12.4,6.299,8.9
5.499,5.5,15.3
11.8,9.0,9.499
10.9,6.9,16.5
12.6,6.65,17.499
8.7,15.9,13.1
11.9,6.75,11.9
6.5,12.5,8.6
5.2,9.7,12.5
10.6,6.8,17.9
5.35,9.3,16.777
11.2,14.4,15.7
10.95,9.6,10.5
7.8,10.5,9.999
3.6,6.85,8.7
11.499,6.3,18.0
7.5,7.36,13.2
4.5,5.95,13.5
8.4,5.8,16.5
6.1,5.7,9.7
3.3,6.8,16.5
18.999,6.65,8.2
2.0,8.2,18.999
12.7,9.9,8.8
9.2,9.8,18.5
6.6,6.4,16.3
4.2,8.3,15.999
12.3,6.7,16.5
5.3,6.8,16.999
13.838,8.8,14.5
10.4,8.35,17.5
13.2,6.999,18.4
9.4,9.95,12.7
9.49,6.799,14.7
10.5,6.25,16.9
10.45,6.45,18.7
4.55,5.9,11.5
11.8,8.6,17.3
4.25,9.999,10.8
11.5,5.0,15.5
8.6,5.799,11.4
11.5,11.8,10.99
5.5,16.2,16.0
17.9,6.65,15.3
7.1,5.65,18.999
2.0,6.3,14.5
7.7,7.6,14.9
13.5,6.2,14.8
12.8,9.1,15.3
13.0,9.1,7.25
11.0,10.999,12.0
17.199,4.5,15.9
9.5,9.9,10.5
6.7,5.5,15.5
8.8,5.999,2.5
14.2,6.499,8.5
2.8,6.95,16.9
5.9,11.9,10.8
5.7,8.75,10.9
16.5,7.3,13.5
3.15,3.0,10.5
5.3,9.7,11.2
12.538,7.8,11.0
10.25,7.8,13.5
3.1,5.4,4.9
2.75,9.1,6.7
2.1,6.2,9.2
12.5,8.8,4.9
4.2,9.8,4.95
14.2,9.199,5.5
6.85,6.9,1.3
11.7,9.85,4.25
6.5,9.8,4.95
10.75,6.4,8.999
11.0,6.499,7.6
19.1,11.49,3.95
15.5,7.9,6.0
12.999,5.65,5.45
1.45,6.4,9.1
10.5,10.5,3.5
10.6,8.999,4.55
10.7,10.8,3.1
7.7,7.9,7.999
3.0,5.6,4.1
11.3,7.8,5.19
12.3,8.5,4.75
15.9,5.849,9.9
10.0,9.85,13.5
9.9,7.1,4.2
9.9,7.85,7.0
6.4,9.6,6.15
14.1,8.9,3.5
9.65,9.0,5.7
9.4,6.2,7.9
13.1,3.3,5.9
4.6,5.8,7.999
12.0,5.85,7.9
13.5,6.6,4.999
7.5,6.4,5.25
10.3,7.5,5.599
6.7,6.2,10.0
3.35,8.5,4.0
3.7,6.9,14.0
11.8,4.5,4.95
6.1,6.7,2.1
11.7,6.4,5.2
12.9,5.95,7.65
